epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,29153.1,0.82243,0.4379,0.86293,0.8226,0.72426,0.81088,0.60489,1.25677,1.56294,0.99393,0.002476,0.002476,0.002476
78,29535.4,0.81525,0.43346,0.86205,0.82335,0.72114,0.81042,0.60457,1.25632,1.56586,0.99387,0.002377,0.002377,0.002377
79,29928.7,0.81534,0.43257,0.86274,0.8209,0.72155,0.81004,0.60438,1.25656,1.57136,0.99404,0.002278,0.002278,0.002278
80,30323.8,0.80853,0.4315,0.86282,0.82361,0.72011,0.81021,0.60468,1.25681,1.57215,0.9942,0.002179,0.002179,0.002179
81,30712.3,0.80419,0.42486,0.86164,0.81961,0.72166,0.80965,0.60363,1.25666,1.57397,0.99391,0.00208,0.00208,0.00208
82,31096.8,0.80255,0.42552,0.86015,0.81812,0.72172,0.80997,0.60419,1.25623,1.57469,0.99401,0.001981,0.001981,0.001981
83,31479,0.79753,0.42356,0.85954,0.81802,0.71955,0.80935,0.60375,1.25611,1.57583,0.99354,0.001882,0.001882,0.001882
84,31863.5,0.79152,0.42046,0.85867,0.82339,0.71568,0.80932,0.60412,1.25664,1.57629,0.99361,0.001783,0.001783,0.001783
85,32250.5,0.78924,0.41782,0.85658,0.82025,0.71553,0.80913,0.60395,1.25737,1.57804,0.99363,0.001684,0.001684,0.001684
86,32633.3,0.78318,0.41325,0.85505,0.82055,0.71566,0.80906,0.60343,1.25829,1.58082,0.99398,0.001585,0.001585,0.001585
87,33029.4,0.77849,0.41176,0.8568,0.81579,0.71767,0.80903,0.60381,1.25786,1.58403,0.99392,0.001486,0.001486,0.001486
88,33421.5,0.77183,0.40854,0.8543,0.81488,0.71715,0.80913,0.60401,1.25738,1.58559,0.99325,0.001387,0.001387,0.001387
89,33813.6,0.77061,0.40773,0.85568,0.81341,0.7161,0.80933,0.60368,1.25837,1.58835,0.99311,0.001288,0.001288,0.001288
90,34204,0.77369,0.40536,0.85454,0.80906,0.72076,0.80814,0.60298,1.25816,1.59279,0.99318,0.001189,0.001189,0.001189
91,34585.8,0.73936,0.38277,0.84773,0.80593,0.72222,0.80751,0.60215,1.25858,1.59589,0.99333,0.00109,0.00109,0.00109
92,34963.9,0.72867,0.37549,0.84448,0.80215,0.72239,0.8067,0.60174,1.25847,1.60104,0.99326,0.000991,0.000991,0.000991
93,35341.3,0.72368,0.37312,0.8431,0.80018,0.72117,0.80668,0.60131,1.25921,1.60745,0.99352,0.000892,0.000892,0.000892
94,35716.7,0.71932,0.36953,0.84273,0.79839,0.72248,0.80569,0.6007,1.25927,1.61311,0.99345,0.000793,0.000793,0.000793
95,36095.7,0.71262,0.36614,0.8416,0.79821,0.71811,0.80496,0.60054,1.25909,1.61658,0.99324,0.000694,0.000694,0.000694
96,36476.8,0.70731,0.36282,0.84034,0.79409,0.72103,0.80415,0.60016,1.26048,1.6241,0.99352,0.000595,0.000595,0.000595
97,36853.2,0.70269,0.36022,0.83999,0.79771,0.71449,0.80374,0.59946,1.26007,1.63035,0.99355,0.000496,0.000496,0.000496
98,37231.4,0.70062,0.35894,0.83811,0.84327,0.67531,0.80289,0.5992,1.26017,1.63615,0.99354,0.000397,0.000397,0.000397
99,37606.5,0.6974,0.35626,0.83813,0.85699,0.6706,0.80164,0.59739,1.26046,1.6452,0.99347,0.000298,0.000298,0.000298
100,37984.5,0.69162,0.35469,0.83875,0.84921,0.67306,0.80116,0.59722,1.26018,1.65175,0.99312,0.000199,0.000199,0.000199
